HEALTH & PERSONAL CARE STORES


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     7421      7425      7443      7516      7458      7417      7292      7508      7420      7535      7497      7526
1993     7518      7651      7605      7683      7666      7680      7756      7678      7772      7758      7784      7989
1994     7865      7729      7911      7838      7955      8014      8084      8126      8190      8214      8190      8287
1995     8306      8304      8304      8450      8424      8482      8431      8488      8611      8584      8691      8761
1996     8546      8782      8991      8922      9076      9072      9134      9237      9190      9363      9414      9505
1997     9448      9649      9922      9578      9722      9916      9950      9989     10077     10058     10217     10201
1998    10382     10406     10393     10620     10645     10672     10828     11019     10985     11106     11232     11311
1999    11415     11498     11595     11619     11741     11837     11857     11848     11993     12155     12258     12801
2000    12381     12386     12580     12733     12814     12864     12967     13034     13233     13302     13340     13527
2001    13413     13582     13650     13643     13812     13843     13879     14004     13894     14298     14280     14350
2002    14525     14747     14745     14940     14903     14947     15004     15120     15288     15298     15348     15293
2003    15441     15534     15677     15705     15791     15934     16182     16345     16339     16434     16500     16648
2004    16287     16133     16526     16476     16462     16570     16554     16610     16635     16739     16813     16882
2005    17133     17292     17245     17332     17413     17392     17617     17548     17707     17760     17841     18005
2006    18000     18124     18205     18294     18483     18584     18640     18775     18894     19064     19276     19385
2007    19423     19401     19521     19572     19650     19860     19851     20034     20068     20008     19938     19862
2008    20120     20259     20288     20172     20516     20518     20640     20683     20569     20638     20789     20682
2009    20774     20906     20928     21059     21100     21055     21006     21005     21275     21278     21288     21195
2010    21187     21199     21343     21471     21378     21661     21733     21819     21956     22128     22202     22292
2011    22671     22451     22584     22425     22608     22630     22704     22800     22742     22830     22758     22697
2012    22926     22976     22945     23021     22883     22426     22770     22763     22585     22527     22684     22940
2013    23230     23069     23123     23089     23201     23196     23464     23530     23865     24004     23990     24043
2014    24003     24107     24293     24553     24894     25076     25116     25280     25245     25389     25511     25633
2015    25844     25565     26188     25830     25792     25943     26193     26303     26767     26733     26877     27090
2016    26900     27362     27281     27475     27515     27646     27527     27509     27554     27012     27270     27209
2017    27078     27255     27410     27624     27702     27606     27617     27796     27798     28027                    


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.978     0.963     0.996     1.002     1.004     0.996     0.998     0.974     0.953     0.991     0.949     1.227
1993     0.954     0.933     1.015     1.005     1.002     0.995     0.989     0.982     0.952     0.973     0.967     1.231
1994     0.955     0.933     1.020     0.990     1.010     0.996     0.971     1.000     0.955     0.970     0.968     1.219
1995     0.963     0.932     1.019     0.974     1.029     1.000     0.969     0.998     0.948     0.977     0.970     1.191
1996     0.983     0.969     0.997     0.998     1.032     0.972     0.994     0.994     0.937     0.992     0.970     1.189
1997     0.985     0.935     1.004     0.990     1.025     0.981     0.991     0.978     0.953     0.997     0.951     1.199
1998     0.981     0.938     1.005     0.999     1.008     0.998     0.994     0.976     0.952     0.990     0.962     1.187
1999     0.965     0.941     1.031     0.998     1.007     0.994     0.985     0.983     0.953     0.974     0.980     1.181
2000     0.966     0.981     1.030     0.976     1.033     0.996     0.966     0.999     0.952     0.982     0.978     1.141
2001     0.993     0.947     1.025     0.987     1.030     0.987     0.974     1.003     0.933     1.001     0.980     1.127
2002     0.996     0.949     1.020     0.995     1.033     0.965     0.992     0.996     0.944     1.000     0.973     1.124
2003     1.006     0.951     1.011     1.002     1.024     0.973     0.989     0.979     0.962     1.005     0.952     1.136
2004     1.003     0.970     1.039     1.004     1.004     0.989     0.985     0.986     0.961     0.981     0.979     1.133
2005     0.984     0.951     1.047     0.987     1.013     0.989     0.966     1.004     0.966     0.979     0.979     1.121
2006     0.994     0.950     1.045     0.971     1.030     0.993     0.966     1.002     0.958     0.991     0.980     1.096
2007     1.009     0.950     1.036     0.984     1.027     0.984     0.976     1.006     0.940     1.010     0.985     1.092
2008     1.004     0.990     1.023     0.994     1.019     0.977     0.990     0.979     0.972     1.012     0.954     1.120
2009     0.996     0.949     1.029     1.000     0.999     0.996     0.992     0.980     0.969     1.003     0.968     1.115
2010     0.978     0.949     1.053     1.000     0.998     0.991     0.982     0.990     0.970     0.985     0.985     1.119
2011     0.980     0.948     1.046     0.992     1.007     0.989     0.963     1.008     0.975     0.986     0.981     1.112
2012     0.992     0.984     1.039     0.982     1.021     0.982     0.973     1.009     0.946     1.014     0.984     1.097
2013     1.006     0.946     1.022     0.994     1.022     0.960     0.990     1.000     0.961     1.011     0.973     1.114
2014     1.007     0.945     1.014     0.995     1.011     0.974     0.988     0.983     0.983     1.013     0.952     1.138
2015     0.994     0.943     1.025     0.992     0.991     0.994     0.991     0.984     0.982     1.003     0.966     1.135
2016     0.973     0.981     1.042     0.985     1.003     0.993     0.965     1.015     0.985     0.985     0.980     1.128
2017     0.981     0.938     1.039     0.970     1.021     0.998     0.966     1.011     0.974     0.995     0.980     1.104
2018     0.994     0.939     1.035     0.980     1.021     0.987     0.975     1.014     0.954     1.012     0.983     1.104
2019     0.991     0.938     1.010     1.004     1.024     0.966     0.992     1.004     0.967     1.009                    
